Username;Attempt_number;Screen_resolution;Pattern_number_A;Pattern_number_B;Xcoord_of_central_Point_of_A;Ycoord_of_central_Point_of_A;Xcoord_of_central_Point_of_B;Ycoord_of_central_Point_of_B;First_Xcoord_of_A;First_Ycoord_of_A;Last_ Xcoord_of_B;Last_Ycoord_of_B;Distance_AB;Intertime_AB;Avg_speeadAB;Avg_pressure
noname;14;1920, 1080;6;4;420.0;2100.0;1260.0;1260.0;566.1154;795.84656;557.0;739.0;57.572753527753505;1836108645;-9.1987343054168E13;30.0
noname;14;1920, 1080;4;2;1260.0;1260.0;2100.0;420.0;566.1154;795.84656;557.0;739.0;57.572753527753505;1836108645;-9.1987343054168E13;23.0
noname;14;1920, 1080;2;5;2100.0;420.0;2100.0;1260.0;566.1154;795.84656;557.0;739.0;57.572753527753505;1836108645;-9.1987343054168E13;21.0
noname;14;1920, 1080;5;8;2100.0;1260.0;2100.0;2100.0;566.1154;795.84656;557.0;739.0;57.572753527753505;1836108645;-9.1987343054168E13;23.0
noname;14;1920, 1080;8;7;2100.0;2100.0;1260.0;2100.0;566.1154;795.84656;557.0;739.0;57.572753527753505;1836108645;-9.1987343054168E13;23.0
noname;14;1920, 1080;7;1;1260.0;2100.0;1260.0;420.0;566.1154;795.84656;557.0;739.0;57.572753527753505;1836108645;-9.1987343054168E13;21.0
